DateTime, Temp, Humidity, Pressure, Yaw, Pitch, Roll, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, State
11/11/2017 21:33:49.551174,32.822,33.787,0.000,87.318354,356.829263,357.429580,2.144357,-21.300653,20.535395,0.093342,-0.074056,0.893149,0.110462,0.068093,-0.011588,0
11/11/2017 21:33:49.837471,32.893,33.246,1033.437,86.468931,357.873296,357.322215,4.610496,-43.647270,41.606987,0.067400,-0.064407,0.912888,0.023010,-0.016374,-0.052385,0
11/11/2017 21:33:50.002190,32.911,34.893,1033.429,86.557212,357.192323,357.029467,5.189276,-52.622295,50.229134,0.080250,-0.075021,0.930922,-0.030572,-0.033022,0.015796,0
11/11/2017 21:33:50.163600,32.911,34.711,1033.433,86.693105,356.968196,356.214863,5.806073,-56.074501,54.093269,0.060611,-0.039802,0.923124,-0.056731,-0.004973,-0.009642,0
11/11/2017 21:33:50.328808,32.911,34.554,1033.437,86.809498,357.191664,355.941729,6.378228,-57.597946,55.230133,0.053823,-0.047039,0.935796,-0.094501,0.019137,0.043946,0
11/11/2017 21:33:50.497592,32.911,34.880,1033.429,87.220279,357.346356,356.228043,5.996507,-58.303921,55.604992,0.066430,-0.038837,0.924830,0.047798,-0.012074,0.028305,0
11/11/2017 21:33:50.659070,32.805,30.446,1033.435,87.616956,357.721359,356.703595,5.589205,-58.690281,56.056709,0.058429,-0.033530,0.912645,0.036709,-0.003275,0.023367,0
11/11/2017 21:33:50.823980,32.911,34.372,1033.435,87.717415,357.636574,357.021814,5.614842,-58.677753,56.471653,0.080007,-0.053311,0.940913,0.106213,0.038610,-0.000834,0
11/11/2017 21:33:50.992486,32.965,34.883,1033.428,87.910484,357.244056,357.151272,5.525994,-58.788002,56.688950,0.074188,-0.043179,0.915813,0.018643,-0.035060,-0.023163,0
11/11/2017 21:33:51.161087,32.858,34.657,1033.422,87.902199,357.115785,356.630367,5.764669,-58.542156,56.701454,0.059157,-0.034495,0.944082,-0.013505,0.000243,-0.031363,0
11/11/2017 21:33:51.322533,32.911,34.611,1033.428,87.856191,357.059474,356.591542,5.906130,-58.530678,56.400238,0.063763,-0.053311,0.879746,0.016757,-0.004052,-0.024565,0
11/11/2017 21:33:51.484007,32.698,35.093,1033.425,87.871217,356.950750,356.739104,5.737519,-58.455879,56.640656,0.071764,-0.030394,0.932384,0.017227,-0.003465,0.005178,0
11/11/2017 21:33:51.649149,32.734,34.940,1033.412,87.999768,356.924658,356.850200,5.777383,-58.487713,56.458778,0.067642,-0.037149,0.947250,0.025738,0.016477,0.012989,0
11/11/2017 21:33:51.810558,32.805,35.747,1033.423,88.032280,356.841667,357.063316,6.038429,-58.594753,56.589928,0.075401,-0.038837,0.930678,-0.007278,0.015137,-0.009357,0
11/11/2017 21:33:51.975741,32.876,34.551,1033.427,87.904644,356.836049,357.080600,6.114001,-58.299736,56.597382,0.062793,-0.039802,0.937258,0.028922,0.003824,-0.016891,0
11/11/2017 21:33:52.144240,32.769,34.601,1033.425,87.792103,356.787482,357.291041,6.026740,-58.250355,57.151649,0.061824,-0.028947,0.935309,-0.008738,0.009156,-0.003336,0
