DateTime, Latitude, Longitude, Temp, Humidity, Pressure, Yaw, Pitch, Roll, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, State
42:08.2,32.90814625,-80.1005469,33.018,37.172,1018.875,124.731289,350.264414,8.326762,-3.471624,-14.805497,89.11087,0.110798,0.128437,1.006955,-0.412226,-0.144126,0.191362,walking
42:08.4,32.90814625,-80.1005469,33.053,37.168,1018.876,126.479872,348.817321,8.233031,-2.920047,-14.950791,88.849937,0.124617,0.100516,0.86025,0.300959,-0.182916,0.17609,walking
42:08.5,32.90814625,-80.1005469,33.124,37.085,1018.875,128.956348,350.265865,11.350269,-2.270153,-14.202263,88.921509,0.157347,0.000243,1.072266,0.117088,0.836313,0.912183,walking
42:08.7,32.90814625,-80.1005469,33.071,36.102,1018.879,141.347732,352.848129,11.102916,-4.037073,-12.089886,89.546387,0.263539,0.00607,0.952124,0.328142,0.553482,1.193486,walking
42:08.9,32.90814625,-80.1005469,33.035,36.607,1018.881,152.667036,352.98883,12.547752,-8.062847,-9.489193,89.855156,0.171894,0.128923,0.821989,0.384647,0.350064,0.797951,walking
42:09.0,32.90814625,-80.1005469,32.982,36.444,1018.881,161.485753,353.502233,13.616851,-12.322836,-6.356091,89.536621,0.115162,0.171169,0.899485,0.154962,0.138705,1.047795,walking
42:09.2,32.90814625,-80.1005469,32.982,36.8,1018.872,171.176903,353.342472,14.199612,-15.750024,-3.042472,89.783478,0.053338,0.181123,1.106871,-0.366106,0.536378,1.95829,walking
42:09.4,32.90814625,-80.1005469,33.018,36.431,1018.874,183.439391,351.360995,14.303334,-18.331318,0.982127,88.545891,0.010183,0.02695,0.856351,0.293018,-0.128243,1.293668,walking
42:09.5,32.90814625,-80.1005469,33.213,35.375,1018.872,192.021565,347.515303,13.044316,-19.436226,5.947559,87.797981,0.130678,0.214871,0.67504,-0.015469,-0.286457,1.051766,walking
42:09.7,32.90814625,-80.1005469,33,37.062,1018.863,196.798586,344.471423,9.965809,-18.322838,9.617109,87.854362,0.184744,0.197148,1.08372,-0.08633,0.109078,0.57468,walking
42:09.9,32.90814541,-80.10053636,33.035,37.029,1018.859,205.263745,350.253445,4.638984,-16.886662,12.089783,88.312325,0.21117,-0.157521,1.339358,0.565769,-0.029283,-0.010224,walking
42:10.1,32.90814541,-80.10053636,33.089,36.424,1018.852,208.19966,352.029846,8.412003,-16.384361,14.207494,87.689484,0.168742,0.038604,0.811267,0.385869,-0.385723,-0.080168,walking
